school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude_longitude,lat,lon
CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21   ADMIRALTY DRIVE,757714,67597433,na,67587312,na,CANBERRA_PS@MOE.EDU.SG,Sembawang MRT Station,Bus No. 859,MR WONG POO MUN,MS HO STEPHANIE LOUISE,MR SHAH JAHAN B MOHAMED IQBAL,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"21, Admiralty Drive, Haruru, Bay of Islands-Whangaroa Community, Far North District, Northland, 0204, New Zealand / Aotearoa",-35.2793376,174.0413023
CANBERRA SECONDARY SCHOOL,https://canberrasec.moe.edu.sg,51   SEMBAWANG DRIVE,757699,67585070,na,67583110,na,CANBERRA_SS@MOE.EDU.SG,SEMBAWANG MRT,"859, 962",MR NG TIONG NAM,MS TNG YA WEN VALERIE,MDM ONG LAY YEN,,,,,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Canberra Secondary School, 51, Sembawang Drive, Sembawang, Northwest, 757699, Singapore",1.45374325,103.81422793735004
CANOSSA CATHOLIC PRIMARY SCHOOL,https://canossacatholicpri.moe.edu.sg/,1    Sallim Road,387621,68441418,na,68441417,na,ccps@moe.edu.sg,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",MDM SIA LU-MING EUGENIE,MR LEE KOK MENG CLEMENT,,,,,,GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Canossian School, 1, Sallim Road, Geylang, Southeast, 387621, Singapore",1.3266014,103.88105039708165
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1    Cantonment Close,88256,65119555,na,65119556,na,cantonment_ps@moe.edu.sg,Tanjong Pagar Outram Park,"75, 167, 196",MRS MANOKARA SUGUNAVATHI,MRS AUDREA CHIN,MISS CHENG SHIN MIIN,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Cantonment Primary School, 1, Cantonment Close, Bukit Merah, Central, 088256, Singapore",1.2758142000000001,103.83988838698619
CASUARINA PRIMARY SCHOOL,http://www.casuarinapri.moe.edu.sg/,30   PASIR RIS ST 41,518935,65837132,na,65836227,na,CASUARINA_PS@MOE.EDU.SG,Pasir Ris MRT Station,"Nos. 12, 21 & 358",MDM ONG KWEE LAN,MR WONG JUNFU STEVEN,MR TAYEB B RAJIB,,,,,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Casuarina Primary School, 30, Pasir Ris Street 41, Pasir Ris, Northeast, 518935, Singapore",1.3728079,103.9572278570395
CATHOLIC HIGH SCHOOL,http://www.catholichigh.moe.edu.sg,9    BISHAN STREET 22,579767,64582177 (Secondary),64589869 (Primary),64561322 (Secondary),64593938 (Primary),chs@moe.edu.sg,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MR POH CHUN LECK,MISS HO PING PING,MS TAN PEY SAN,MR TAN KELLY,,,,BISHAN,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,Yes,Yes,Chinese,na,na,"Catholic High School, 9, Bishan Street 22, Bishan, Central, 579767, Singapore",1.35492755,103.84498827399534
CATHOLIC JUNIOR COLLEGE,https://cjc.moe.edu.sg/,129  WHITLEY ROAD,297822,62524083,na,62537267,na,catholic_jc@moe.edu.sg,"Toa Payoh (NS Line),  Novena (NS Line),  Stevens (DT Line),  Caldecott (CC Line,TE Line)","105, 132, 151, 153, 154, 156, 186, 966, 985",MDM CHUA SUAN GEK PHYLLIS,MR TAN JEK SUAN,MDM KAM WAI CHIN,,,,,NOVENA,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Catholic Junior College, 129, Whitley Road, Novena, Central, 297822, Singapore",1.3252735,103.8353627983077
CEDAR GIRLS' SECONDARY SCHOOL,http://www.cedargirlssec.moe.edu.sg,1    CEDAR AVENUE,349692,62884909,na,62820244,na,cedargirlss@moe.edu.sg,"WOODLEIGH MRT, POTONG PASIR MRT, MATTAR MRT","8, 13, 61, 64, 65, 66, 90, 100, 107, 133, 135, 142, 147, 151, 154, 155, 853",MDM TEY KAH HWEE,MDM LIM YING YING,MDM TAN GEOK LAN,,,,,TOA PAYOH,EAST,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,Yes,Chinese,Malay,Tamil,"Cedar Girls' Secondary School, 1, Cedar Avenue, Joo Seng, Southeast, 349692, Singapore",1.33421505,103.87425205458916
CEDAR PRIMARY SCHOOL,Http://www.cedarpri.moe.edu.sg,15   CEDAR AVENUE,349700,62885633,na,62830113,na,CEDAR_PS@MOE.EDU.SG,Potong Pasir MRT Station,"8, 61, 64, 65, 66, 66A, 90, 90A, 100, 135, 151, 154, 155",MR CHRIS CHUA,MS CHOONG PEI CHIN,MDM NUR RASHIDAH BTE ABDUL RASHID,,,,,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"15, Cedar Avenue, Suffolk County, New York, 11727, United States",40.8926674,-73.03044016171039
CHANGKAT CHANGI SECONDARY SCHOOL,http://www.changkatchangisec.moe.edu.sg,23   SIMEI ST 3,529894,67859790,na,67868481,na,CHANGKATCHGI@MOE.EDU.SG,SIMEI MRT,"5, 9, 20, 38",MR HO MING DA,MISS LOH SEIN LING,MR DANNY CHEW POH HUAT,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Changkat Changi Secondary School, 23, Simei Street 3, Simei, Southeast, 529894, Singapore",1.3404936,103.9529812112048
CHANGKAT PRIMARY SCHOOL,http://www.changkatpri.moe.edu.sg/,11   SIMEI ST 3,529896,67830923,na,67844740,na,CHANGKAT_PS@MOE.EDU.SG,Simei MRT Station,"9,38,5",MDM CHENG HUEY TENG,MDM SITI NAZRAH BTE ABDUL RAHMAN,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Changkat Primary School, 11, Simei Street 3, Simei, Southeast, 529896, Singapore",1.33982335,103.95227531092621
CHIJ (KATONG) PRIMARY,http://chijkcp.moe.edu.sg/,17   MARTIA ROAD,424821,63443072,na,63459007,na,CHIJKTPS@moe.edu.sg,EUNOS PAYA LEBAR,"15, 55, 36, 16, 135, 197, 196, 31, 13, 76, 12, 10, 14, 32, 40",MDM CHUA SOOK LIAN JUDINA,MDM TAN POH KUAN JOYCELYN,,,,,,BEDOK,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ (Katong) Primary School, 17, Martia Road, Bedok, Southeast, 424821, Singapore",1.30643785,103.91083201080629
CHIJ (KELLOCK),http://www.chijkellock.moe.edu.sg/,1    Bukit Teresa Road,99757,62730096,na,62731710,na,CHIJKS@MOE.EDU.SG,Outram Park Station,"61, 124, 143, 166",MRS SHANTHI SURAJ NAIR,MS NG CHIOU HIEN HELEN,MRS CHAN-TIONG LE CHIN,,,,,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ (Kellock) Primary School, 1, Bukit Teresa Road, Bukit Purmei Ville, Bukit Merah, Central, 099757, Singapore",1.274664,103.8280550817506
CHIJ KATONG CONVENT,http://www.chijkatongconvent.moe.edu.sg,346  MARINE TERRACE,449150,64486433,na,64494405,na,chijktcs@moe.edu.sg,"BEDOK MRT, KEMBANGAN MRT, EUNOS MRT, PAYA LEBAR MRT","4N, 13, 16, 31, 36, 36A, 36B, 43, 47, 48, 55, 134, 135, 135A, 150, 196, 196E, 197, 853C, 763",MDM CHAN GEK SAN PATRICIA,MDM ONG BEE HOON,MISS LIM AI HUI ANNIE,,,,,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"CHIJ Katong Convent School, 346, Marine Terrace, Marine Parade, Southeast, 449150, Singapore",1.30633255,103.91778620715004
CHIJ OUR LADY OF GOOD COUNSEL,http://www.chijourladyofgoodcounsel.moe.edu.sg,2C   Burghley Drive,558979,62886930,na,62814132,na,chijolgcs@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",MISS TAN LEE YIN GRACE,MRS WONG-LIM ENG LING ANGELINA,MISS LIAT MEI KUEN GERALDINE SHARON,,,,,SERANGOON,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ (Our Lady of Good Counsel) Primary School, 2C, Burghley Drive, Serangoon, Southeast, 558979, Singapore",1.3577786,103.86393027516013
CHIJ OUR LADY OF THE NATIVITY,http://www.chijourladyofthenativity.moe.edu.sg/,1257 UPPER SERANGOON ROAD,534793,63852455,na,63852012,na,chijoln@moe.edu.sg,Hougang MRT,"74, 102, 112, 113, 119, 136, 147, 324, 672",MDM CHRISTINA TEO,MDM YEO DAI YUN,MDM LIM HUI MEOW ANNIE,,,,,HOUGANG,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ (Our Lady of the Nativity) Primary School, 1257, Upper Serangoon Road, Hougang, Northeast, 534793, Singapore",1.37311065,103.89768985814462
CHIJ OUR LADY QUEEN OF PEACE,http://www.chijourladyqueenofpeace.moe.edu.sg/,4    Chestnut Drive,679287,67691529,na,67653551,na,CHIJOLQP@MOE.EDU.SG,Cashew and Hillview,"180, 67, 171, 176, 177, 178, 184, 961, 963, 970",MS ALBUQUERQUE KAREN ANNE,MISS CECILIA TAN LI HUA,MDM LOH AH LAH CATHERINE MICHELLE,,,,,BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"4, Chestnut Drive, Country Estates at East Hills, Roslyn, North Hempstead, Nassau County, New York, 11576, United States",40.8072465,-73.63181833189607
CHIJ PRIMARY (TOA PAYOH),http://www.chijpritoapayoh.moe.edu.sg,628  Lorong 1 Toa Payoh,319765,63532164,na,63536362,na,CHIJTPPS@MOE.EDU.SG,Toa Payoh,"59, 231, 141",DR TAN SOON KEE MARGARET,MDM MISCHA LEIGH PEREIRA,MRS CHARMAINE LEE,,,,,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ (Toa Payoh) Primary School, 628, Lorong 1 Toa Payoh, Toa Payoh, Central, 319765, Singapore",1.3331269,103.84240300250805
CHIJ SECONDARY (TOA PAYOH),http://www.chijsec.edu.sg,626  LORONG 1 TOA PAYOH,319764,63534972,na,63544573,na,CHIJTPSS@MOE.EDU.SG,TOA PAYOH MRT,"59, 141, 231",MDM RACHEL ANG LAY KOON,MISS TEO GEOK SIAN,MISS PHUA AI LING ADELINE,,,,,TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"CHIJ (Toa Payoh) Secondary School, 626, Lorong 1 Toa Payoh, Toa Payoh, Central, 319764, Singapore",1.3326721,103.84284656956811
CHIJ ST. JOSEPH'S CONVENT,http://www.chijstjosephsconvent.moe.edu.sg,62   SENGKANG EAST WAY,548595,64897580,na,64897589,na,CHIJSJCS@MOE.EDU.SG,SENGKANG MRT,"50, 82, 86, 88, 119, 136",MRS VALERIE PINTO,MISS TAN KIM BERLINA,MISS HO WEI LING,,,,,SENG KANG,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ St Joseph's Convent, 62, Sengkang East Way, Seng Kang, Northeast, 548595, Singapore",1.39185175,103.90248663868363
CHIJ ST. NICHOLAS GIRLS' SCHOOL,http://www.chijstnicholasgirls.moe.edu.sg,501  ANG MO KIO STREET 13,569405,63541839 (Secondary),64549698 (Primary),64511335 (Secondary),64566169 (Primary),chijsng_sec@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT, MAYFLOWER MRT (End 2021)","76, 265, 268, 269",MDM FIONA YEO SU LING,MISS YEO TECK WOON,MS BAEY EE-LYN,MDM AMY TAN,MR TING POH LEONG ALOYSIUS,,,ANG MO KIO,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,No,Yes,Chinese,na,na,"CHIJ St Nicholas Girls' School, 501, Ang Mo Kio Street 13, Ang Mo Kio, Central, 569405, Singapore",1.37344905,103.83407767975933
CHIJ ST. THERESA'S CONVENT,http://www.chijsttheresasconvent.moe.edu.sg,160  LOWER DELTA ROAD,99138,64775777,na,64775700,na,CHIJSTCS@MOE.EDU.SG,"HARBOURFRONT MRT, TIONG BAHRU MRT","65, 121, 123, 123M, 124, 131, 131M, 195, 195A, 272, 855",MDM TAN MEI MEI JENNY,MDM ONG LEE LEE,"MISS KUO ZHAOYAN, FELICIA",,,,,BUKIT MERAH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"CHIJ St. Theresa's Convent, 160, Lower Delta Road, Radin Mas, Bukit Merah, Central, 099138, Singapore",1.27614885,103.8222529475166
CHONGFU SCHOOL,http://www.chongfu.moe.edu.sg/,170  YISHUN AVENUE 6,768959,67585527,na,62579571,na,CFS@MOE.EDU.SG,Yishun MRT station,Feeder Service 811,MDM FOO MUI CHUW,MR SOON WOO SIN,MISS LIM HWEE MIEN ANGELYNNA,,,,,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Chongfu Primary School, 170, Yishun Avenue 6, Yishun, Northwest, 768959, Singapore",1.4387276,103.83929013137512
CHONGZHENG PRIMARY SCHOOL,http://www.chongzhengpri.moe.edu.sg,1    TAMPINES STREET 21,529392,67819002,na,67845054,na,czps@moe.edu.sg,Tampines MRT Station,"3,3A, 8, 17, 18, 20, 28, 34, 39, 59, 518",MR LIM WEE JAMES,MDM RANJIT KAUR D/O MUKHTAR SINGH,,,,,,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Chongzheng Primary School, 1, Tampines Street 21, Tampines, Northeast, 529392, Singapore",1.35054425,103.95092058934961
CHRIST CHURCH SECONDARY SCHOOL,http://www.christchurchsec.moe.edu.sg,20   WOODLANDS DRIVE 17,737924,68933297,na,68932789,na,ccss@moe.edu.sg,"WOODLANDS MRT, WOODLANDS SOUTH MRT","901, 901M, 665",MR LAU YAN BOON DAVID,MR ONG KAH HUI VICTOR,MRS LEE BEE CHEOW,,,,,WOODLANDS,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Christ Church Secondary School, 20, Woodlands Drive 17, Woodlands, Northwest, 737924, Singapore",1.42666655,103.79314665636525
CHUA CHU KANG PRIMARY SCHOOL,http://www.chuachukangpri.moe.edu.sg,20   CHOA CHU KANG AVENUE 2,689905,67661574,na,67661583,na,cckps@moe.edu.sg,Choa Chu Kang MRT Station and Southview LRT Station,"Bus Service 300, 301 and NR3 along Chua Chu Kang Ave 2 Bus Service 172, 301, 991 along Chua Chu Kang Ave 1",MDM KUEK YEN YEN SHEREE,MDM CHEW BOON HWEE,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Chua Chu Kang Primary School, 20, Choa Chu Kang Avenue 2, Choa Chu Kang, Southwest, 689905, Singapore",1.37793775,103.74198414587175
CHUA CHU KANG SECONDARY SCHOOL,http://www.chuachukangsec.moe.edu.sg,3    TECK WHYE CRESCENT,688845,67655228,67664425,67636807,na,CCKSS@MOE.EDU.SG,CHOA CHU KANG MRT,"190, 307, 975, 982E, 985",MDM ONG LIANG FUNG,MDM HARTATI BTE OSMAN,,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Chua Chu Kang Secondary School, 3, Teck Whye Crescent, Choa Chu Kang, Southwest, 688845, Singapore",1.38350835,103.75154241451996
CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg,50   GOODMAN ROAD,439012,63441393,na,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10, 12, 14, 16, 16M, 30, 31, 32, 33, 40, 43, 135, 134, 196, 197",MR CHAN YING YIN,DR ONG CHUN GHEE,"MDM TAN JWEE LYNN, CHERYL",,,,,MARINE PARADE,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,"Chung Cheng High School (Main), 50, Goodman Road, Marine Parade, Southeast, 439012, Singapore",1.3053550999999999,103.8917707808657
CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11   YISHUN STREET 61,768547,67583912,na,67587397,na,cchys@moe.edu.sg,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 860, 965, 969",MR TAN YEE KAN,MRS CHONG LAI PENG NEE YEO,MR CHANG FOOK YONG,,,,,YISHUN,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Chung Cheng High School (Yishun), 11, Yishun Street 61, Yishun, Northwest, 768547, Singapore",1.41910045,103.83728733872445
CLEMENTI PRIMARY SCHOOL,http://www.clementipri.moe.edu.sg,8    CLEMENTI AVE 3,129903,67797449,na,67732898,na,admin_clementi_ps@moe.edu.sg,Clementi MRT Station,We are just beside Clementi Bus Interchange.,MR VIMALENTHIRAN S/O VIJAYASINGAM,MRS TAN SIEW HONG,,,,,,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Clementi Primary School, 8, Clementi Avenue 3, Clementi, Southwest, 129903, Singapore",1.31556955,103.76320883321443
CLEMENTI TOWN SECONDARY SCHOOL,http://www.clementitownsec.moe.edu.sg,10   CLEMENTI AVE 3,129904,67777362,na,67789543,na,ctss@moe.edu.sg,CLEMENTI MRT,"14, 105, 106, 147, 156, 165, 166, 173, 175, 184, 196, 282, 284, 285, 7, 96, 99",MDM LEE CHING GUAN HELEN,MISS LEONG KAI LING,MRS TAY CHEN LAI,,,,,CLEMENTI,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Clementi Town Secondary School, 10, Clementi Avenue 3, Clementi, Southwest, 129904, Singapore",1.31566085,103.7619064748706
COMMONWEALTH SECONDARY SCHOOL,http://www.commonwealthsec.moe.edu.sg,698  WEST COAST ROAD,608784,65606866,na,65645204,na,cwss@moe.edu.sg,"JURONG EAST MRT, CLEMENTI MRT","30, 51, 78, 79, 143, 143M, 176, 201",MR NG BOON KIAT,MR LEOW ZHI WEN PHILIBERT,,,,,,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"Commonwealth Secondary School, 698, West Coast Road, Jurong East, Southwest, 608784, Singapore",1.31969715,103.74569995189142
COMPASSVALE PRIMARY SCHOOL,http://www.compassvalepri.moe.edu.sg/,21   COMPASSVALE ST,545091,63882819,na,63882798,na,cvps@moe.edu.sg,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",MR JEFFREY AW,MDM YEOW CHERN EE,,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Compassvale Primary School, 21, Compassvale Street, Seng Kang, Northeast, 545091, Singapore",1.3945064,103.8980350715747
COMPASSVALE SECONDARY SCHOOL,http://www.compassvalesec.moe.edu.sg,51   COMPASSVALE CRESCENT,545083,68815047,na,68815998,na,CVSS@MOE.EDU.SG,"SENGKANG MRT, COMPASSVALE LRT","27, 27A, 82,  83,  86,  88,  89, 89E, 136, 161, 371, 965",MR CHIA CHOR YANN,MR SUKHDEV SINGH S/O GURDEEP SINGH,MISS KEE LEE LING,,,,,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Compassvale Secondary School, 51, Compassvale Crescent, Seng Kang, Northeast, 545083, Singapore",1.39652095,103.90014701267849
CONCORD PRIMARY SCHOOL,http://www.concordpri.moe.edu.sg/,3    CHOA CHU KANG AVE 4,689814,67632139,na,67632452,na,CONCORD_PS@MOE.EDU.SG,Choa Chu Kang MRT Station,Bus 300 and 983,MR TAN SIEW TIONG,MS LIM KAR WAE FIONA,MDM GOH PUAY HOON JENNY,,,,,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Concord Primary School, 3, Choa Chu Kang Avenue 4, Choa Chu Kang, Southwest, 689814, Singapore",1.38021795,103.73633268488206
CORPORATION PRIMARY SCHOOL,http://www.corporationpri.moe.edu.sg,31   JURONG WEST STREET 24,648347,67957381,na,67957098,na,cps@moe.edu.sg,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",MRS JENNIFER PANG CHEE CHYN,MDM POON GEK HONG,MRS CHRISTINA TAN-LIM LAY LENG,,,,,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Corporation Primary School, 31, Jurong West Street 24, Jurong West, Southwest, 648347, Singapore",1.35142845,103.70769543642461
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357  TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MRS HELEN CHONG,MISS USHA JEYARAJAH,,,,,,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,"Crescent Girls' School, 357, Tanglin Road, Queenstown, Central, 247961, Singapore",1.2934392,103.81802376836586
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561  JURONG EAST STREET 24,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR SEET TIAT HEE,MR HO KUM FAI SAM,MR CHAN TECK HONG DAVID,,,,,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Crest Secondary School, 561, Jurong East Street 24, Jurong East, Southwest, 609561, Singapore",1.34386705,103.74280532049548
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52   BEDOK RESERVOIR CRESCENT,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MDM LIM PECK CHIN YENLYN,,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Damai Primary School, 52, Bedok Reservoir Crescent, Bedok, Northeast, 479226, Singapore",1.3354514,103.92139171652317
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MDM CHAN WAN SIONG,MRS OH WEE MING,MR SIVAKUMAR S/O VISWANATHAN,,,,,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Damai Secondary School, 4800, Bedok Reservoir Road, Bedok, Northeast, 479229, Singapore",1.337598,103.92682076787418
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35   BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MDM YAP SIU LIN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,,,,,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Dazhong Primary School, 35, Bukit Batok Street 31, Bukit Gombak, Bukit Batok, Southwest, 659441, Singapore",1.3591826,103.74796785698436
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11   Choa Chu Kang St 52,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MDM CHERYL CHOO SHUEH-LI,MR CHING KIN HIN,,,,,,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"De La Salle School, 11, Choa Chu Kang Street 52, Choa Chu Kang, Northwest, 689285, Singapore",1.3950086000000002,103.74325929182976
